,model,features,f1_score_test,f1_score_train,accuracy_test,accuracy_train,precision_test,precision_train,recall_test,recall_train
0,LogisticRegression,['ECLIPSE'],0.18002105817106015,0.18552988531338074,0.33599680383539754,0.3411288389313587,0.29318959209887174,0.3035908212588689,0.33599680383539754,0.3411288389313587
1,LogisticRegression,"['ECLIPSE', 'fromCC']",0.33791243973141555,0.33397734028773596,0.40567319216939673,0.4011932983512239,0.38446797817652,0.38474405310722226,0.40567319216939673,0.4011932983512239
2,LogisticRegression,"['ECLIPSE', 'fromCC', 'censustract']",0.16738970790301083,0.16642589564615962,0.33415900918897323,0.3330580933862504,0.1116622434221563,0.11092769357008432,0.33415900918897323,0.3330580933862504
3,LogisticRegression,"['ECLIPSE', 'fromCC', 'censustract', 'from_general_center']",0.24810369820432993,0.2522801489293439,0.3166600079904115,0.3216578323522361,0.2782513540598291,0.27919721455178514,0.3166600079904115,0.3216578323522361
4,LogisticRegression,"['ECLIPSE', 'fromCC', 'censustract', 'from_general_center', 'fromSouth', 'fromWest', 'fromNE']",0.24810369820432993,0.2522801489293439,0.3166600079904115,0.3216578323522361,0.2782513540598291,0.27919721455178514,0.3166600079904115,0.3216578323522361
5,LogisticRegression,"['ECLIPSE', 'fromCC', 'censustract', 'from_general_center', 'fromSouth', 'fromWest', 'fromNE', 'from_approved_center', 'from_denied_center']",0.24810369820432993,0.2522801489293439,0.3166600079904115,0.3216578323522361,0.2782513540598291,0.27919721455178514,0.3166600079904115,0.3216578323522361
6,LogisticRegression,"['ECLIPSE', 'fromCC', 'censustract', 'from_general_center', 'fromSouth', 'fromWest', 'fromNE', 'fromCC_Sq', 'fromSouth_Sq', 'fromWest_Sq', 'fromNE_Sq']",0.24810369820432993,0.2522801489293439,0.3166600079904115,0.3216578323522361,0.2782513540598291,0.27919721455178514,0.3166600079904115,0.3216578323522361
7,LogisticRegression,"['ECLIPSE', 'fromCC', 'censustract', 'from_general_center', 'fromSouth', 'fromWest', 'fromNE', 'fromCC_Sq', 'fromSouth_Sq', 'fromWest_Sq', 'fromNE_Sq', 'from_approved_center', 'from_denied_center']",0.24810369820432993,0.2522801489293439,0.3166600079904115,0.3216578323522361,0.2782513540598291,0.27919721455178514,0.3166600079904115,0.3216578323522361
8,LogisticRegression,"['ECLIPSE', 'fromCC', 'censustract', 'from_general_center', 'fromSouth', 'fromWest', 'fromNE', 'fromCC_Sq', 'fromSouth_Sq', 'fromWest_Sq', 'fromNE_Sq', 'from_approved_center', 'from_denied_center', 'from_approved_center_Sq', 'from_denied_center_Sq']",0.2478453430319045,0.2522181800190494,0.31713943268078304,0.32237700769783983,0.2783939052965935,0.27764410908471426,0.31713943268078304,0.32237700769783983
9,KNeighborsClassifier,['ECLIPSE'],0.1688626501410414,0.16593698102227233,0.3358369956052737,0.33249873478411424,0.1127864876171766,0.11055540863303671,0.3358369956052737,0.33249873478411424
